연도,월,주차,긍정,부정,잘모름,과학_IT,경제,국제,북한_외교,문화,사회,사건_사고,정치,스포츠,지역,"기타(날씨, 미분류)",주간합,과학_IT%,경제%,국제%,북한_외교%,문화%,사회%,사건_사고%,정치%,스포츠%,지역%,"기타(날씨, 미분류)%"
2012,1,1,26.0,63.0,11,334,1335,870,338,1222,1159,766,1044,566,593,514,8741,3.821073104,15.27285208,9.953094612,3.866834458,13.98009381,13.25935248,8.763299394,11.94371353,6.475231667,6.78412081,5.880334058
2012,1,2,24.0,65.0,11,372,1464,1099,286,1136,1231,791,1148,608,618,546,9299,4.000430154,15.74362835,11.8184751,3.075599527,12.21636735,13.23798258,8.506290999,12.34541349,6.538337456,6.645875901,5.871599097
2012,1,3,22.0,65.0,13,455,1500,1259,250,1261,1375,894,1326,667,741,678,10406,4.372477417,14.41476071,12.09878916,2.402460119,12.11800884,13.21353066,8.591197386,12.74264847,6.409763598,7.120891793,6.515471843
2012,1,4,24.0,64.0,12,319,1066,1007,231,923,1003,642,752,496,497,509,7445,4.284754869,14.31833445,13.52585628,3.102753526,12.39758227,13.47212895,8.623237072,10.10073875,6.662189389,6.675621222,6.836803224
2012,2,1,22.0,65.0,13,447,1628,1081,235,1388,1440,904,1153,739,742,699,10456,4.275057383,15.57000765,10.33856159,2.247513389,13.27467483,13.77199694,8.645753634,11.02716144,7.067712318,7.096403979,6.685156848
2012,2,2,24.0,64.0,12,382,1632,1239,260,1322,1425,837,1313,806,737,601,10554,3.619480766,15.46333144,11.73962479,2.46352094,12.52605647,13.50198977,7.93064241,12.44078075,7.636914914,6.983134357,5.694523403
2012,2,3,23.0,62.0,15,364,1485,1263,305,1433,1262,976,1209,869,582,603,10351,3.516568447,14.34643996,12.20171964,2.94657521,13.84407304,12.19205874,9.429040672,11.68003091,8.395324123,5.622645155,5.825524104
2012,2,4,24.0,60.0,16,427,1592,1209,355,1329,1275,883,1278,852,722,601,10523,4.0577782,15.12876556,11.48911907,3.373562672,12.62947829,12.11631664,8.39114321,12.14482562,8.096550413,6.861161266,5.711299059
2012,3,1,26.0,60.0,14,353,1325,990,315,1264,1040,668,1044,691,603,406,8699,4.057937694,15.23163582,11.38061846,3.621105874,14.53040579,11.95539717,7.679043568,12.00137947,7.943441775,6.931831245,4.667203127
2012,3,2,24.0,61.0,15,445,1304,1210,281,1324,1082,772,1387,718,770,524,9817,4.532953041,13.28308037,12.32555771,2.862381583,13.4868086,11.02169706,7.863909545,14.12855251,7.313843333,7.843536722,5.337679535
2012,3,3,27.0,58.0,15,399,1521,1117,377,1390,1074,802,1490,774,821,587,10352,3.854327666,14.69281298,10.79018547,3.641808346,13.42735703,10.3748068,7.747295209,14.39335394,7.476816074,7.930834621,5.670401855
2012,3,4,26.0,58.0,16,349,1296,967,477,1459,1035,748,1670,770,759,522,10052,3.471945881,12.89295663,9.619976124,4.745324314,14.51452447,10.29645842,7.441305213,16.61360923,7.660167131,7.550736172,5.192996419
